experiment_id,hypothesis_id,command,comment,env_id,seed,algorithm,total_timesteps,n_episodes,mean_return,q4_return,auc,final_avg20
Alien-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id Alien-v5 --seed 3,ppo baseline Alien-v5 seed 3 (narval),Alien-v5,3,ppo,40000000,60544,193.42494201660156,196.3002166748047,11710720.0,140.0
Amidar-v5_s1,h001,python cleanrl/ppo_atari_envpool.py --env-id Amidar-v5 --seed 1,ppo baseline Amidar-v5 seed 1 (rorqual),Amidar-v5,1,ppo,40000000,71552,2.3237924575805664,2.039355993270874,166272.0,5.0
Amidar-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id Amidar-v5 --seed 3,ppo baseline Amidar-v5 seed 3 (nibi),Amidar-v5,3,ppo,40000000,70656,2.3460144996643066,2.0217392444610596,165760.0,1.0
BattleZone-v5_s1,h001,python cleanrl/ppo_atari_envpool.py --env-id BattleZone-v5 --seed 1,ppo baseline BattleZone-v5 seed 1 (nibi),BattleZone-v5,1,ppo,40000000,34432,2449.814208984375,2364.312255859375,84352000.0,6000.0
BattleZone-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id BattleZone-v5 --seed 3,ppo baseline BattleZone-v5 seed 3 (rorqual),BattleZone-v5,3,ppo,40000000,34048,2090.2255859375,1736.8421630859375,71168000.0,1000.0
Breakout-v5_s1,h001,python cleanrl/ppo_atari_envpool.py --env-id Breakout-v5 --seed 1,ppo baseline Breakout-v5 seed 1 (nibi),Breakout-v5,1,ppo,40000000,224256,1.3413242101669312,1.3652968406677246,300800.0,2.0
DoubleDunk-v5_s1,h001,python cleanrl/ppo_atari_envpool.py --env-id DoubleDunk-v5 --seed 1,ppo baseline DoubleDunk-v5 seed 1 (narval),DoubleDunk-v5,1,ppo,40000000,20480,-17.962499618530273,-18.100000381469727,-367872.0,-20.0
DoubleDunk-v5_s2,h001,python cleanrl/ppo_atari_envpool.py --env-id DoubleDunk-v5 --seed 2,ppo baseline DoubleDunk-v5 seed 2 (nibi),DoubleDunk-v5,2,ppo,40000000,20096,-17.923566818237305,-17.566879272460938,-360192.0,-22.0
Enduro-v5_s1,h001,python cleanrl/ppo_atari_envpool.py --env-id Enduro-v5 --seed 1,ppo baseline Enduro-v5 seed 1 (narval),Enduro-v5,1,ppo,40000000,11904,0.0,0.0,0.0,0.0
Enduro-v5_s2,h001,python cleanrl/ppo_atari_envpool.py --env-id Enduro-v5 --seed 2,ppo baseline Enduro-v5 seed 2 (nibi),Enduro-v5,2,ppo,40000000,11904,0.0,0.0,0.0,0.0
MontezumaRevenge-v5_s1,h001,python cleanrl/ppo_atari_envpool.py --env-id MontezumaRevenge-v5 --seed 1,ppo baseline MontezumaRevenge-v5 seed 1 (nibi),MontezumaRevenge-v5,1,ppo,40000000,70272,0.0,0.0,0.0,0.0
MontezumaRevenge-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id MontezumaRevenge-v5 --seed 3,ppo baseline MontezumaRevenge-v5 seed 3 (rorqual),MontezumaRevenge-v5,3,ppo,40000000,70912,0.0,0.0,0.0,0.0
MsPacman-v5_s2,h001,python cleanrl/ppo_atari_envpool.py --env-id MsPacman-v5 --seed 2,ppo baseline MsPacman-v5 seed 2 (narval),MsPacman-v5,2,ppo,40000000,69376,430.5534973144531,413.65313720703125,29870080.0,210.0
MsPacman-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id MsPacman-v5 --seed 3,ppo baseline MsPacman-v5 seed 3 (nibi),MsPacman-v5,3,ppo,40000000,80128,278.76995849609375,256.6134033203125,22337280.0,240.0
NameThisGame-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id NameThisGame-v5 --seed 3,ppo baseline NameThisGame-v5 seed 3 (nibi),NameThisGame-v5,3,ppo,40000000,15488,2211.405029296875,2491.156982421875,34250240.0,2030.0
Phoenix-v5_s1,h001,python cleanrl/ppo_atari_envpool.py --env-id Phoenix-v5 --seed 1,ppo baseline Phoenix-v5 seed 1 (fir),Phoenix-v5,1,ppo,40000000,30336,807.7637329101562,892.4894409179688,24504320.0,1450.0
Phoenix-v5_s2,h001,python cleanrl/ppo_atari_envpool.py --env-id Phoenix-v5 --seed 2,ppo baseline Phoenix-v5 seed 2 (rorqual),Phoenix-v5,2,ppo,40000000,40064,742.7476196289062,760.8945922851562,29757440.0,380.0
Phoenix-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id Phoenix-v5 --seed 3,ppo baseline Phoenix-v5 seed 3 (narval),Phoenix-v5,3,ppo,40000000,19328,752.2516479492188,735.099365234375,14539520.0,650.0
PrivateEye-v5_s2,h001,python cleanrl/ppo_atari_envpool.py --env-id PrivateEye-v5 --seed 2,ppo baseline PrivateEye-v5 seed 2 (narval),PrivateEye-v5,2,ppo,40000000,14720,54.12173843383789,46.64347839355469,796672.0,-1000.0
PrivateEye-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id PrivateEye-v5 --seed 3,ppo baseline PrivateEye-v5 seed 3 (nibi),PrivateEye-v5,3,ppo,40000000,14720,-148.04347229003906,-280.1043395996094,-2179200.0,0.0
Qbert-v5_s1,h001,python cleanrl/ppo_atari_envpool.py --env-id Qbert-v5 --seed 1,ppo baseline Qbert-v5 seed 1 (nibi),Qbert-v5,1,ppo,40000000,122240,169.08377075195312,162.48690795898438,20668800.0,275.0
Qbert-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id Qbert-v5 --seed 3,ppo baseline Qbert-v5 seed 3 (rorqual),Qbert-v5,3,ppo,40000000,123392,155.83506774902344,154.6680450439453,19228800.0,0.0
SpaceInvaders-v5_s1,h001,python cleanrl/ppo_atari_envpool.py --env-id SpaceInvaders-v5 --seed 1,ppo baseline SpaceInvaders-v5 seed 1 (narval),SpaceInvaders-v5,1,ppo,40000000,78720,152.22764587402344,150.18699645996094,11983360.0,365.0
SpaceInvaders-v5_s2,h001,python cleanrl/ppo_atari_envpool.py --env-id SpaceInvaders-v5 --seed 2,ppo baseline SpaceInvaders-v5 seed 2 (nibi),SpaceInvaders-v5,2,ppo,40000000,78720,147.7154541015625,147.17886352539062,11628160.0,150.0
SpaceInvaders-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id SpaceInvaders-v5 --seed 3,ppo baseline SpaceInvaders-v5 seed 3 (fir),SpaceInvaders-v5,3,ppo,40000000,78720,145.7886199951172,144.7073211669922,11476480.0,180.0
Venture-v5_s1,h001,python cleanrl/ppo_atari_envpool.py --env-id Venture-v5 --seed 1,ppo baseline Venture-v5 seed 1 (fir),Venture-v5,1,ppo,40000000,18304,0.0,0.0,0.0,0.0
Venture-v5_s2,h001,python cleanrl/ppo_atari_envpool.py --env-id Venture-v5 --seed 2,ppo baseline Venture-v5 seed 2 (rorqual),Venture-v5,2,ppo,40000000,19200,0.0,0.0,0.0,0.0
Venture-v5_s3,h001,python cleanrl/ppo_atari_envpool.py --env-id Venture-v5 --seed 3,ppo baseline Venture-v5 seed 3 (narval),Venture-v5,3,ppo,40000000,19968,0.0,0.0,0.0,0.0
Alien-v5_s3,h002,python cleanrl/pqn_atari_envpool.py --env-id Alien-v5 --seed 3,pqn baseline Alien-v5 seed 3 (narval),Alien-v5,3,pqn,40000000,69376,190.9409637451172,181.3653106689453,13246720.0,140.0
Amidar-v5_s1,h002,python cleanrl/pqn_atari_envpool.py --env-id Amidar-v5 --seed 1,pqn baseline Amidar-v5 seed 1 (rorqual),Amidar-v5,1,pqn,40000000,66048,31.112403869628906,32.15503692626953,2054912.0,31.0
Amidar-v5_s2,h002,python cleanrl/pqn_atari_envpool.py --env-id Amidar-v5 --seed 2,pqn baseline Amidar-v5 seed 2 (narval),Amidar-v5,2,pqn,40000000,65664,30.633527755737305,31.914230346679688,2011520.0,32.0
Amidar-v5_s3,h002,python cleanrl/pqn_atari_envpool.py --env-id Amidar-v5 --seed 3,pqn baseline Amidar-v5 seed 3 (nibi),Amidar-v5,3,pqn,40000000,66304,30.250965118408203,30.98841667175293,2005760.0,32.0
BattleZone-v5_s2,h002,python cleanrl/pqn_atari_envpool.py --env-id BattleZone-v5 --seed 2,pqn baseline BattleZone-v5 seed 2 (fir),BattleZone-v5,2,pqn,40000000,27904,2958.715576171875,3064.22021484375,82560000.0,1000.0
BattleZone-v5_s3,h002,python cleanrl/pqn_atari_envpool.py --env-id BattleZone-v5 --seed 3,pqn baseline BattleZone-v5 seed 3 (rorqual),BattleZone-v5,3,pqn,40000000,26496,2946.85986328125,3473.429931640625,78080000.0,4000.0
Breakout-v5_s1,h002,python cleanrl/pqn_atari_envpool.py --env-id Breakout-v5 --seed 1,pqn baseline Breakout-v5 seed 1 (nibi),Breakout-v5,1,pqn,40000000,217600,1.585882306098938,1.6494117975234985,345088.0,2.0
DoubleDunk-v5_s1,h002,python cleanrl/pqn_atari_envpool.py --env-id DoubleDunk-v5 --seed 1,pqn baseline DoubleDunk-v5 seed 1 (narval),DoubleDunk-v5,1,pqn,40000000,8192,-22.90625,-24.0,-187648.0,-24.0
DoubleDunk-v5_s2,h002,python cleanrl/pqn_atari_envpool.py --env-id DoubleDunk-v5 --seed 2,pqn baseline DoubleDunk-v5 seed 2 (nibi),DoubleDunk-v5,2,pqn,40000000,7680,-22.766666412353516,-24.0,-174848.0,-24.0
DoubleDunk-v5_s3,h002,python cleanrl/pqn_atari_envpool.py --env-id DoubleDunk-v5 --seed 3,pqn baseline DoubleDunk-v5 seed 3 (fir),DoubleDunk-v5,3,pqn,40000000,7424,-22.758621215820312,-24.0,-168960.0,-24.0
Enduro-v5_s1,h002,python cleanrl/pqn_atari_envpool.py --env-id Enduro-v5 --seed 1,pqn baseline Enduro-v5 seed 1 (narval),Enduro-v5,1,pqn,40000000,11904,0.0,0.0,0.0,0.0
Enduro-v5_s2,h002,python cleanrl/pqn_atari_envpool.py --env-id Enduro-v5 --seed 2,pqn baseline Enduro-v5 seed 2 (nibi),Enduro-v5,2,pqn,40000000,11904,0.0,0.0,0.0,0.0
Enduro-v5_s3,h002,python cleanrl/pqn_atari_envpool.py --env-id Enduro-v5 --seed 3,pqn baseline Enduro-v5 seed 3 (fir),Enduro-v5,3,pqn,40000000,11904,0.0,0.0,0.0,0.0
MontezumaRevenge-v5_s1,h002,python cleanrl/pqn_atari_envpool.py --env-id MontezumaRevenge-v5 --seed 1,pqn baseline MontezumaRevenge-v5 seed 1 (nibi),MontezumaRevenge-v5,1,pqn,40000000,6400,0.0,0.0,0.0,0.0
MsPacman-v5_s2,h002,python cleanrl/pqn_atari_envpool.py --env-id MsPacman-v5 --seed 2,pqn baseline MsPacman-v5 seed 2 (narval),MsPacman-v5,2,pqn,40000000,80768,304.2947692871094,253.10618591308594,24577280.0,210.0
MsPacman-v5_s3,h002,python cleanrl/pqn_atari_envpool.py --env-id MsPacman-v5 --seed 3,pqn baseline MsPacman-v5 seed 3 (nibi),MsPacman-v5,3,pqn,40000000,78208,311.5384521484375,243.97708129882812,24364800.0,210.0
NameThisGame-v5_s2,h002,python cleanrl/pqn_atari_envpool.py --env-id NameThisGame-v5 --seed 2,pqn baseline NameThisGame-v5 seed 2 (narval),NameThisGame-v5,2,pqn,40000000,20608,1096.7701416015625,1270.3726806640625,22602240.0,2060.0
NameThisGame-v5_s3,h002,python cleanrl/pqn_atari_envpool.py --env-id NameThisGame-v5 --seed 3,pqn baseline NameThisGame-v5 seed 3 (nibi),NameThisGame-v5,3,pqn,40000000,18176,1308.0281982421875,1591.267578125,23774720.0,1250.0
Phoenix-v5_s1,h002,python cleanrl/pqn_atari_envpool.py --env-id Phoenix-v5 --seed 1,pqn baseline Phoenix-v5 seed 1 (fir),Phoenix-v5,1,pqn,40000000,69376,100.95941162109375,87.23247528076172,7004160.0,60.0
Phoenix-v5_s3,h002,python cleanrl/pqn_atari_envpool.py --env-id Phoenix-v5 --seed 3,pqn baseline Phoenix-v5 seed 3 (narval),Phoenix-v5,3,pqn,40000000,71424,111.64874267578125,87.88530731201172,7974400.0,120.0
PrivateEye-v5_s2,h002,python cleanrl/pqn_atari_envpool.py --env-id PrivateEye-v5 --seed 2,pqn baseline PrivateEye-v5 seed 2 (narval),PrivateEye-v5,2,pqn,40000000,14720,-183.6782684326172,-356.4521789550781,-2703744.0,0.0
PrivateEye-v5_s3,h002,python cleanrl/pqn_atari_envpool.py --env-id PrivateEye-v5 --seed 3,pqn baseline PrivateEye-v5 seed 3 (nibi),PrivateEye-v5,3,pqn,40000000,14720,-394.27825927734375,-125.49565124511719,-5803776.0,0.0
