global_step,episodic_return
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
93824,210.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
225024,270.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
308736,180.00
386944,150.00
386944,150.00
386944,150.00
386944,150.00
386944,150.00
386944,150.00
386944,150.00
386944,150.00
386944,150.00
386944,150.00
386944,150.00
386944,150.00
