global_step,episodic_return
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
53248,125.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
98560,175.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
136704,25.00
172800,0.00
172800,0.00
172800,0.00
172800,0.00
172800,0.00
172800,0.00
172800,0.00
172800,0.00
172800,0.00
