global_step,episodic_return
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
56960,250.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
99584,75.0
