global_step,episodic_return
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
36608,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
168320,0.00
