global_step,episodic_return
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
71040,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
143488,0.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
279808,11.00
